// Table of 100 sequences of 1024 uniform random 2D samples.
// Each sample is generated with drand48().
// Sequence 0:
0.000000000000 0.000985394675
0.041631001595 0.176642642543
0.364602248391 0.091330612112
0.092297647699 0.487217223947
0.526750279762 0.454433423738
0.233178433564 0.831291787981
0.931731481980 0.568059612787
0.556094332471 0.050831914251
0.767051159730 0.018914803476
0.252359761958 0.298197173371
0.875980867158 0.531556864624
0.920260941858 0.515431151338
0.810429453527 0.188420250441
0.886314443876 0.570614019329
0.076774564884 0.815273882250
0.984891017625 0.118351709359
0.893905900652 0.784483643928
0.100916273392 0.253310625614
0.019841661980 0.378377474215
0.678877410560 0.680923038345
0.752706661167 0.006229453388
0.624406715011 0.126462434365
0.617549800984 0.770928262474
0.186535821591 0.496721698077
0.509500391737 0.315939002819
0.701702561136 0.367246631966
0.876312364985 0.370994664835
0.525252398384 0.427834558127
0.542743178428 0.667978589711
0.171141829611 0.830779135261
0.861905399097 0.769221139168
0.052579459685 0.966729641032
0.334283914142 0.082096538622
0.270314629812 0.074262370297
0.676225762705 0.810158550741
0.464211232178 0.569185048048
0.512203021082 0.586510331962
0.738758538331 0.871688814319
0.577967319127 0.964703586474
0.333529297120 0.392827969434
0.176927731147 0.111869023064
0.852680837753 0.811171834217
0.954887281830 0.904283202474
0.138915256517 0.686187343727
0.126987449627 0.004090199127
0.000502784553 0.192951917112
0.586780148839 0.374959153648
0.026785941112 0.464765292954
0.785343040117 0.442234824094
0.287903884613 0.853352951308
0.525971969490 0.728416716745
0.266314294946 0.783484023239
0.468044181015 0.196997354057
0.447176967394 0.728439778292
0.966093000154 0.756840780646
0.466056883760 0.868966442754
0.134039256504 0.846052580261
0.018087662259 0.940854799001
0.670082118077 0.799971540226
0.143216787004 0.610460311472
0.908282557418 0.774414717290
0.366064692982 0.944287980048
0.884821674986 0.445171092625
0.163028445714 0.424817299671
0.479853879866 0.031128316499
0.608430218941 0.792261168115
0.182496784587 0.525121297249
0.898758851031 0.308789894642
0.942625922019 0.388024647293
0.930512264022 0.911384183219
0.337718350606 0.532812323336
0.702077270619 0.971010657560
0.768085191937 0.751941251313
0.090864086748 0.853966724048
0.174644454507 0.019770371407
0.419053522753 0.296369894963
0.378232451839 0.418716437108
0.138448157640 0.380846681070
0.299780034534 0.021012117436
0.238802620341 0.037109371795
0.221059036706 0.525434545383
0.494525222342 0.882522015631
0.773830100217 0.059002491067
0.119801419648 0.547801255472
0.341915697590 0.456811877392
0.588121741507 0.585149925720
0.069927038970 0.818931461701
0.403160720979 0.585483042917
0.191160932548 0.892277241557
0.176331810974 0.207703581634
0.115747883941 0.158914568788
0.992644081099 0.681570785016
0.811796080565 0.642215135883
0.329342478245 0.737553277222
0.823482724744 0.721260995145
0.657982409648 0.358774485455
0.610364766373 0.415003646267
0.814954183780 0.773965404925
0.274310755211 0.044742044638
0.601041234319 0.514091113387
0.630214596553 0.180893203254
0.278500868120 0.452489225309
0.642985764812 0.742831948044
0.413655332059 0.618052231883
0.618289319808 0.854436402340
0.181457098364 0.307927964294
0.023328192879 0.009181983430
0.951453236069 0.990754806619
0.204939976794 0.604093155384
0.935652380006 0.559567333788
0.546866177275 0.439127959872
0.449751940861 0.306805321752
0.200813877415 0.215799503221
0.049895632652 0.209561133922
0.574563341649 0.914820175851
0.415609940143 0.654158892441
0.355700555953 0.586702482036
0.391945620636 0.033850157593
0.285516377924 0.091604026137
0.444384544784 0.925936625964
