// Table of 100 sequences of 1024 Owen-scrambled Halton 2D samples.
// Bases are primes 23 and 29; Owen-scrambled using Burley's hash function.
Sequence 0:
0.380881130695 0.805278062820
0.981632530689 0.398983985186
0.106593534350 0.960155844688
0.563243627548 0.624848008156
0.639843344688 0.783608675003
0.311891764402 0.704904615879
0.747577548027 0.533810496330
0.815773367882 0.552215218544
0.174341380596 0.971974313259
0.602382421494 0.170662701130
0.419487088919 0.897789120674
0.236000344157 0.745477855206
0.282077491283 0.870354235172
0.451661050320 0.317483514547
0.827439367771 0.485016316175
0.019189562649 0.686819493771
0.653768420219 0.103981368244
0.698771119118 0.275818407536
0.501781284809 0.097309507430
0.154905304313 0.834880948067
0.926053285599 0.033921353519
0.077844373882 0.432304978371
0.874946713448 0.465551376343
0.349130243063 0.302480787039
0.988803744316 0.218727082014
0.092379637063 0.369158625603
0.556027531624 0.056961398572
0.645193099976 0.588544130325
0.304996550083 0.176336318254
0.753893792629 0.806493699551
0.818841993809 0.380308449268
0.183638304472 0.963452160358
0.598408758640 0.628061771393
0.394253790379 0.790427982807
0.220227748156 0.722711086273
0.277784615755 0.532215416431
0.465921670198 0.579912841320
0.851392567158 0.974181294441
0.015534675680 0.149345889688
0.684356331825 0.930293381214
0.723965942860 0.743329882622
0.485684156418 0.867585361004
0.170422315598 0.344450622797
0.926513850689 0.508516192436
0.058122050017 0.656347632408
0.879785060883 0.120387442410
0.372260689735 0.267201662064
0.983840644360 0.074557133019
0.125068366528 0.843442440033
0.538730502129 0.006064454559
0.619950354099 0.440896213055
0.338131308556 0.470664322376
0.760331392288 0.278191506863
0.785393834114 0.219240635633
0.192738875747 0.367117255926
0.596285104752 0.036123853177
0.412132024765 0.607646465302
0.254906773567 0.187548413873
0.270346164703 0.808665990829
0.459019124508 0.409295707941
0.835558056831 0.950505971909
0.010449531488 0.639079689980
0.664438426495 0.776128590107
0.738604724407 0.690266728401
0.509389817715 0.518876373768
0.168845564127 0.560908734798
0.919127047062 0.984164476395
0.059994179755 0.166137591004
0.911769628525 0.900126099586
0.383877158165 0.738482356071
0.980614423752 0.868430197239
0.105650454760 0.329689800739
0.530541121960 0.502673387527
0.627860665321 0.664772391319
0.309613645077 0.131283834577
0.764292240143 0.247883170843
0.811972796917 0.078854270279
0.182519823313 0.829137861729
0.585386455059 0.014979951084
0.424810588360 0.422854930162
0.232439801097 0.475569903851
0.267806321383 0.306034535170
0.435460537672 0.228626146913
0.861684918404 0.361386179924
0.021910129115 0.040809851140
0.689678847790 0.600905716419
0.696064352989 0.181857705116
0.481347560883 0.797572731972
0.160154595971 0.380775541067
0.916594564915 0.958456933498
0.086869366467 0.640337586403
0.903041422367 0.759268581867
0.379315614700 0.716964721680
0.977111041546 0.539968907833
0.089946977794 0.584278106689
0.523838222027 0.985080122948
0.649588286877 0.157661944628
0.333484828472 0.916827559471
0.757703304291 0.748641908169
0.797190368176 0.864648640156
0.209127724171 0.311900824308
0.580960571766 0.496827244759
0.430651217699 0.675948321819
0.233546897769 0.109537594020
0.294098764658 0.271889686584
0.474468708038 0.075223438442
0.832157909870 0.832067966461
0.041973304003 0.000497510773
0.687536299229 0.443906605244
0.711881160736 0.454127967358
0.482568025589 0.301156342030
0.143851310015 0.237790822983
0.921993613243 0.371493816376
0.074370250106 0.057162441313
0.890271008015 0.592436790466
0.370137542486 0.186390042305
0.995900630951 0.795614302158
0.124656781554 0.391855984926
0.548189520836 0.932508766651
0.635393738747 0.633786499500
0.316698908806 0.761132419109
0.779602587223 0.710371017456
0.790807127953 0.526407837868
0.206326544285 0.556832611561
0.576761662960 0.995341122150
0.408188909292 0.145492702723
0.218506678939 0.925545692444
0.279432862997 0.756455481052
0.440974563360 0.875072956085
0.841786503792 0.341380745173
0.011407908052 0.493629068136
0.681097865105 0.685048639774
0.705956399441 0.130014866590
0.498175263405 0.245938241482
0.165885016322 0.091624923050
0.917400062084 0.842285811901
0.056666757911 0.028389718384
0.875831604004 0.434459418058
0.363311052322 0.449286460876
0.958177804947 0.305443197489
0.108595758677 0.214576110244
0.532888710499 0.350755363703
0.646899461746 0.043353755027
0.340313583612 0.593891143799
0.773742139339 0.188935950398
0.793967902660 0.817197620869
0.177769914269 0.384002804756
0.565801918507 0.942366123199
0.426959514618 0.629562139511
0.236892625690 0.763419985771
0.301887780428 0.696194648743
0.451939731836 0.547980368137
0.867190301418 0.568788588047
0.000045986497 0.973335146904
0.671282410622 0.162637442350
0.735990285873 0.920378327370
0.500162780285 0.726959824562
0.138315513730 0.877548217773
0.942268908024 0.317233592272
0.045256134123 0.486242592335
0.905241608620 0.679991900921
0.375154793262 0.106760792434
0.972775816917 0.248719409108
0.093553990126 0.095149107277
0.539149463177 0.851206958294
0.609903216362 0.031763486564
0.335309296846 0.441391497850
0.767097651958 0.481291174889
0.793734192848 0.299001485109
0.193455263972 0.211504369974
0.573784828186 0.376300215721
0.431308537722 0.050404589623
0.239966213703 0.594981372356
0.269843637943 0.192309439182
0.445997357368 0.815571606159
0.843689203262 0.410714924335
0.040509935468 0.949918925762
0.659916043282 0.632473528385
0.716791570187 0.782242298126
0.521295785904 0.702636718750
0.148802101612 0.527737677097
0.924354314804 0.565110146999
0.066448882222 0.997409343719
0.898247778416 0.153478488326
0.382604688406 0.928259849548
0.966173410416 0.732486784458
0.096076294780 0.875283181667
0.546092808247 0.328076809645
0.620312869549 0.517178356647
0.331459879875 0.670984029770
0.770668685436 0.113868534565
0.822910904884 0.252381980419
0.203784719110 0.080826528370
0.594984710217 0.859302699566
0.392609089613 0.003648539074
0.244833439589 0.417314887047
0.265395790339 0.458465635777
0.468106240034 0.295856058598
0.863876163960 0.230247125030
0.038207449019 0.368075251579
0.694208323956 0.064866058528
0.701575160027 0.587363004684
0.493469685316 0.204325571656
0.137458980083 0.824502170086
0.930862545967 0.395491659641
0.082422435284 0.956256151199
0.872333168983 0.646466076374
0.366839915514 0.792561471462
0.991666734219 0.706355631351
0.128544345498 0.541823685169
0.534978687763 0.577641367912
0.637153089046 0.986050426960
0.338913291693 0.153049498796
0.778484940529 0.905062615871
0.824976086617 0.741973876953
0.212242037058 0.893403470516
0.588475883007 0.319390237331
0.414764761925 0.505509316921
0.259011983871 0.683284640312
0.275902211666 0.132726952434
0.446224063635 0.255248337984
0.830828368664 0.073026664555
0.036097161472 0.840687334538
0.654484152794 0.023786909878
0.700687825680 0.420571208000
0.519149482250 0.464011043310
0.172699198127 0.292261213064
0.954710304737 0.212222829461
0.052234567702 0.377893507481
0.892249703407 0.053041074425
0.376543611288 0.609797894955
0.970211148262 0.177306681871
0.111235454679 0.812221169472
0.525890290737 0.413515627384
0.643476068974 0.931417882442
0.312490135431 0.650308847427
0.741011440754 0.774345755577
0.809570670128 0.712685763836
0.188200190663 0.521435856819
0.569930732250 0.570663511753
0.420674502850 0.988248229027
0.240395501256 0.144689649343
0.289259940386 0.928843796253
0.454407155514 0.755668342113
0.837502181530 0.892562091351
0.017856696621 0.321990907192
